=== ALL 191 nex.* TABLES · row counts + sizes ===
+-------------------------------------------+----------------------+-------------------+-------------+------------+------------+------------+---------------+--------------+-------------+------------+
|                table_name                 | row_estimate_pg_stat | row_estimate_stat | total_bytes | total_size | heap_bytes | heap_size  | indexes_bytes | indexes_size | toast_bytes | toast_size |
| brain_accommodation_prices                |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| brain_attractions                         |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| brain_local_guide                         |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| experiment_variants                       |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| contact_merges                            |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| mp_commerce_policy                        |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| alert_rules                               |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| provider_rate_config                      |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| food_hq_rule                              |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| user_wallet                               |                   64 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| delivery_workers_archive_2026_08_22       |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| sparks_product                            |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| sparks_product_price                      |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| social_category_automation                |                   36 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| safety_audit_config                       |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| predictive_controls                       |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| conv_outcomes                             |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| brain_english_progress                    |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| sources                                   |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| kpe_processing_runs                       |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| record_versions                           |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| transport_acquisition_outreach            |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| object_blob_current                       |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| kpe_metadata                              |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| social_role_grants                        |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| brain_traveler_rating                     |                   -1 |                 0 |       24576 | 24 kB      |          0 | 0 bytes    |         16384 | 16 kB        |        8192 | 8192 bytes |
| contradictions                            |                   -1 |                 0 |       24576 | 24 kB      |          0 | 0 bytes    |         16384 | 16 kB        |        8192 | 8192 bytes |
